Type,No.,Address,City,St.,Opened,Closed
Neighborhood Market,4217,154 East Roller Avenue,Decatur,AR,"January 7, 2015","January 28, 2016"
Discount Store,349,611 US Highway 65 South,Dumas,AR,"November 18, 1980","December 31, 2005"
Discount Store,530,"Mellor Park Mall, 2115 North West Avenue",El Dorado,AR,"July 1, 1983",1996
Supercenter,530,2730 North West Avenue,El Dorado,AR,1996,
Neighborhood Market,7242,367 West Main Street,Farmington,AR,"August 13, 2014",
Discount Store,6,"Southgate Shopping Center, 1686 South School Avenue",Fayetteville,AR,"November 1, 1966","January 19, 1983"
Discount Store,144,2314 Martin Luther King Jr. Boulevard,Fayetteville,AR,"September 21, 1976","August 18, 1994"
Supercenter,144,2875 West 6th Street,Fayetteville,AR,"August 19, 1994",
Discount Store,359,"Fiesta Square, 3180 North College Avenue",Fayetteville,AR,"November 17, 1981","October 7, 1997"
Supercenter,359,3919 North Mall Avenue,Fayetteville,AR,"October 8, 1997",
Neighborhood Market,2745,2690 East Citizens Drive,Fayetteville,AR,"November 3, 1999",
On Campus,2997,616 North Garland Avenue,Fayetteville,AR,"January 14, 2011",
Neighborhood Market,4516,660 Martin Luther King Jr. Boulevard,Fayetteville,AR,"May 25, 2016",
Neighborhood Market,5737,3475 West Black Forest Drive,Fayetteville,AR,"May 18, 2011",
Discount Store,1147,103 Marshall Street,Flippin,AR,"February 2, 1988","March 22, 2005"
Supercenter,1147,168 Walmart Drive,Flippin,AR,"March 23, 2005",
Discount Store,339,1123 Highway 79-167 Bypass,Fordyce,AR,"November 18, 1980",
Discount Store,91,"Cloverleaf Shopping Center, 2342 North Washington Street",Forrest City,AR,September 1974,"August 18, 1994"
Supercenter,91,205 Deadrick Road,Forrest City,AR,"August 19, 1994",
Discount Store,125,3721 Towson Avenue,Fort Smith,AR,April 1975,1982
Discount Store,125,1401 Highway 71 South,Fort Smith,AR,1982,"July 20, 1999"
Supercenter,125,2425 South Zero Street,Fort Smith,AR,"July 21, 1999",
Discount Store,141,5609 Rogers Avenue,Fort Smith,AR,May 1976,July 1988
Discount Store,141,"Quarry Shopping Center, 4900 Rogers Avenue",Fort Smith,AR,July 1988,May 1997
Supercenter,141,8301 Rogers Avenue,Fort Smith,AR,May 1997,
Discount Store,388,2600 Midland Boulevard,Fort Smith,AR,"August 31, 1982","January 15, 2008"
Supercenter,388,2100 North 62nd Street,Fort Smith,AR,"January 16, 2008",
Neighborhood Market,2744,"Quarry Shopping Center, 4900 Rogers Avenue",Fort Smith,AR,"November 11, 1998",
Neighborhood Market,4579,8600 Highway 71 South,Fort Smith,AR,"September 30, 2015",
Express,3032,905 South Gentry Boulevard,Gentry,AR,"June 3, 2011","January 28, 2016"
Express,3033,800 1st Avenue Southeast,Gravette,AR,"August 31, 2011","January 28, 2016"
Neighborhood Market,7317,75 South Broadview Street,Greenbrier,AR,"November 5, 2014",
Supercenter,3231,551 Liberty Drive,Greenwood,AR,"March 19, 2003",
Discount Store,2,"Younes Shopping Center, 1401 North Main Street",Harrison,AR,"August 5, 1964",September 1978
Discount Store,2,617 US Highway 62-65 North,Harrison,AR,September 1978,"January 24, 1995"
Supercenter,2,1417 US Highway 62-65 North,Harrison,AR,"January 25, 1995",
Discount Store,281,1510 Highway 25B North,Heber Springs,AR,"October 30, 1979","October 14, 1997"
Supercenter,281,1500 Highway 25B North,Heber Springs,AR,"October 15, 1997",
Supercenter,714,602 Shelia Street,Helena–West Helena,AR,"July 20, 1994",
Discount Store,1065,1301 North Hervey Street,Hope,AR,"August 18, 1987","April 17, 2001"
Supercenter,1065,2400 North Hervey Street,Hope,AR,"April 18, 2001",
Discount Store,52,200 Airport Road,Hot Springs,AR,"July 18, 1972","June 29, 1992"
Discount Store,52,1601 Albert Pike Boulevard,Hot Springs,AR,"June 30, 1992","August 29, 2000"
Supercenter,52,1601 Albert Pike Boulevard,Hot Springs,AR,"August 30, 2000",
Discount Store,261,"Market Place Shopping Center, 3333 Central Avenue",Hot Springs,AR,"December 1, 1981","May 15, 2001"
Supercenter,261,4019 Central Avenue,Hot Springs,AR,"May 16, 2001",
Neighborhood Market,5789,1640 Airport Road,Hot Springs,AR,"July 13, 2016",
Neighborhood Market,5790,1544 Malvern Avenue,Hot Springs,AR,"August 17, 2016",
Supercenter,5433,3604 North Highway 7,Hot Springs Village,AR,"October 27, 2004",
Discount Store,373,121 Lee Street,Huntsville,AR,"March 10, 1981","October 14, 2014"
Supercenter,373,157 Gary Hatfield Way,Huntsville,AR,"October 15, 2014",
Discount Store,24,"Jackson Square, 915 West Main Street",Jacksonville,AR,April 1971,1985
Discount Store,24,"Wal-Mart Shopping Center, 612 Loop Road",Jacksonville,AR,1985,"January 25, 2000"
Supercenter,24,2000 John Harden Drive,Jacksonville,AR,"January 26, 2000",
Discount Store,45,"Jonesboro Plaza Shopping Center, 1525 South Caraway Road",Jonesboro,AR,August 1972,"May 26, 1973"
Discount Store,45,"Jonesboro Plaza Shopping Center, 1525 South Caraway Road",Jonesboro,AR,1973,1985
Discount Store,45,1843 Highland Street,Jonesboro,AR,1985,"February 16, 1992"
Supercenter,45,1815 East Highland Drive,Jonesboro,AR,"February 17, 1992",
Discount Store,128,1907 Woodsprings Road,Jonesboro,AR,"August 1, 1978","October 14, 1997"
Supercenter,128,1911 West Parker Road,Jonesboro,AR,"October 15, 1997",
Neighborhood Market,6876,3319 Harrisburg Road,Jonesboro,AR,"January 21, 2015",
Neighborhood Market,6943,2811 Creek Drive,Jonesboro,AR,"January 14, 2015",
Discount Store,124,8717 Geyer Springs Road,Little Rock,AR,"March 4, 1975","May 31, 1993"
Discount Store,124,8801 Baseline Road,Little Rock,AR,"June 1, 1993",1999
Supercenter,124,8801 Baseline Road,Little Rock,AR,1999,
Discount Store,126,"Markham Square, 9101 West Markham Street",Little Rock,AR,"March 2, 1976","February 1, 1988"
Discount Store,126,"Rock Creek Square, 12201 West Markham Street",Little Rock,AR,"February 2, 1988","September 13, 1994"
Discount Store,126,700 South Bowman Road,Little Rock,AR,"September 14, 1994","January 25, 2011"
Supercenter,126,2700 South Shackleford Road,Little Rock,AR,"January 26, 2011",
Discount Store,920,"Asher Shopping Center, 6420 Asher Avenue",Little Rock,AR,"November 11, 1986",1998
Supercenter,5244,19301 Cantrell Road,Little Rock,AR,"August 18, 2004",
Neighborhood Market,5666,2510 Cantrell Road,Little Rock,AR,"July 18, 2012","November 2, 2017"
Supercenter,5706,700 South Bowman Road,Little Rock,AR,"October 26, 2012",
Discount Store,169,1400 North Center Street,Lonoke,AR,September 1977,"July 14, 2009"
Supercenter,169,322 Brownsville Loop,Lonoke,AR,"July 15, 2009",
Discount Store,83,"North Park Plaza, 1315 East Main Street",Magnolia,AR,August 1974,1988
Discount Store,83,"East Main Plaza Center, 1629 East Main Street",Magnolia,AR,1988,"August 19, 2003"
Supercenter,83,60 US Highway 79 North,Magnolia,AR,"August 20, 2003",
Discount Store,127,1400 East Page Avenue,Malvern,AR,February 1976,1990
Discount Store,127,1601 Highway 270,Malvern,AR,1990,"April 12, 2005"
Supercenter,127,1910 Martin Luther King Boulevard,Malvern,AR,"April 13, 2005",
Neighborhood Market,2498,720 North Highway 71,Mansfield,AR,"December 17, 2014","January 28, 2016"
Neighborhood Market,4654,2100 Highway 77,Marion,AR,"January 13, 2016",
Neighborhood Market,5783,117 Audubon Drive,Maumelle,AR,"June 25, 2008","January 17, 2016"
Discount Store,289,1001 US Highway 65 South,McGehee,AR,"October 30, 1979",
Discount Store,67,"Northside Shopping Center, 601 US Highway 71 North",Mena,AR,July 1973,May 1995
Supercenter,67,600 Highway 71 North,Mena,AR,May 1995,
Discount Store,348,202 US Highway 425 South,Monticello,AR,"November 18, 1980","October 10, 1992"
Supercenter,348,427 US Highway 425 North,Monticello,AR,"October 11, 1992",
Discount Store,8,211 North Moose Street,Morrilton,AR,"October 24, 1967",1977
Discount Store,8,"Riverland Shopping Center, 1519 East Harding Street",Morrilton,AR,1977,1983
Discount Store,8,1618 North Business Highway 9,Morrilton,AR,1983,"November 17, 1992"
Supercenter,8,1621 North Business Highway 9,Morrilton,AR,"November 18, 1992",
Discount Store,11,"College Plaza Shopping Center, 329 Highway 62 East",Mountain Home,AR,"March 14, 1968","August 6, 1973"
Discount Store,11,"Wal-Mart Shopping Center, 924 Highway 62 East",Mountain Home,AR,"August 7, 1973","September 13, 1985"
Discount Store,11,725 Highway 62 Northeast,Mountain Home,AR,"September 14, 1985","February 19, 2002"
Supercenter,11,2763 Highway 62 East,Mountain Home,AR,"February 20, 2002",
Discount Store,1114,315 Sylamore Avenue,Mountain View,AR,"February 2, 1988","October 25, 2005"
Supercenter,1114,409 Sylamore Avenue,Mountain View,AR,"October 26, 2005",
Neighborhood Market,2578,3500 Mulberry Highway 64 West,Mulberry,AR,"November 12, 2014","January 28, 2016"
Discount Store,33,9 Southpark Shopping Center,Nashville,AR,June 1971,1983
Discount Store,33,1400 South 4th Street,Nashville,AR,1983,"September 16, 2003"
Supercenter,33,1710 South 4th Street,Nashville,AR,"September 17, 2003",
Discount Store,18,"Village Mall Shopping Center, 2123 Malcolm Avenue",Newport,AR,November 1969,1989
Discount Store,18,2500 Malcolm Avenue,Newport,AR,1989,"August 13, 2013"
Supercenter,18,1211 Highway 367 North,Newport,AR,"August 14, 2013",
Discount Store,7,"Levy Shopping Center, 3801 Camp Robinson Road",North Little Rock,AR,"October 3, 1967",October 1977
Discount Store,7,4401 Camp Robinson Road,North Little Rock,AR,October 1977,"October 30, 1989"
Discount Store,7,3801 Camp Robinson Road,North Little Rock,AR,"October 31, 1989","June 10, 2008"
Discount Store,110,4135 John F. Kennedy Boulevard,North Little Rock,AR,"March 4, 1975","January 31, 1977"
Discount Store,110,"Indian Hills Shopping Center, 6929 John F. Kennedy Boulevard",North Little Rock,AR,"February 1, 1977","December 24, 1996"
Supercenter,1105,4450 East McCain Boulevard,North Little Rock,AR,"March 17, 2004",
Supercenter,4460,12001 Maumelle Boulevard,North Little Rock,AR,"March 7, 2008",
Discount Store,74,1051 West Keiser Avenue,Osceola,AR,"November 1, 1973","October 25, 2012"
Supercenter,74,2720 West Keiser Avenue,Osceola,AR,"October 26, 2012",
Discount Store,209,1516 North 18th Street,Ozark,AR,"June 1, 1978",
Discount Store,36,"Paragould Plaza Shopping Center, 1701 West Kings Highway",Paragould,AR,"November 2, 1971","September 1, 1986"
Discount Store,36,"Town West Shopping Center, 2501 West Kings Highway",Paragould,AR,"September 2, 1986","May 21, 1996"
Supercenter,36,2802 West Kings Highway,Paragould,AR,"May 22, 1996",
Neighborhood Market,5780,2600 Linwood Drive,Paragould,AR,"June 1, 2016",
Discount Store,230,1501 East Walnut Street,Paris,AR,"December 5, 1978",
Neighborhood Market,6971,240 Slack Street,Pea Ridge,AR,"July 16, 2014",
Discount Store,241,"Southwest Plaza, 4030 West 25th Street",Pine Bluff,AR,1979,2004
Discount Store,928,"Pines Mall, 2901 Pines Mall Road",Pine Bluff,AR,"July 15, 1986","January 20, 2004"
Supercenter,3331,5501 South Olive Street,Pine Bluff,AR,"January 21, 2004",
Discount Store,71,1601 South Bettis Street,Pocahontas,AR,November 1973,"July 27, 1993"
Supercenter,71,1415 Highway 67 South,Pocahontas,AR,"July 28, 1993",
Express,3034,881 West Buchanan Street,Prairie Grove,AR,"June 3, 2011","January 28, 2016"
Discount Store,1,719 West Walnut Street,Rogers,AR,"July 2, 1962",November 1973
Discount Store,1,"Walnut Plaza, 922 West Walnut Street",Rogers,AR,November 1973,February 1991
Discount Store,1,2110 West Walnut Street,Rogers,AR,February 1991,"May 7, 1996"
Supercenter,1,2110 West Walnut Street,Rogers,AR,"May 8, 1996",
Gas Station,241,4206 South Pleasant Crossing Boulevard,Rogers,AR,"January 31, 2017",
Neighborhood Market,3479,1819 South 8th Street,Rogers,AR,"January 9, 2002",
Neighborhood Market,3654,808 West Walnut Street,Rogers,AR,"September 9, 2015",
Pharmacy,5169,2252 North 8th Street,Rogers,AR,"May 1, 2020",
Supercenter,5260,4208 Pleasant Crossing Boulevard,Rogers,AR,"May 18, 2005",
Pharmacy,5822,2708 Rife Medical Lane,Rogers,AR,"March 17, 2008",2023
Neighborhood Market,5837,5000 Pauline Whitaker Parkway,Rogers,AR,"June 24, 2009",
Discount Store,58,1509 East Main Street,Russellville,AR,May 1973,1992
Discount Store,58,3093 East Main Street,Russellville,AR,1992,"October 25, 2005"
Supercenter,58,2409 East Main Street,Russellville,AR,"October 26, 2005",
Neighborhood Market,4128,2109 West Main Street,Russellville,AR,"August 13, 2014",
Discount Store,157,2700 East Race Avenue,Searcy,AR,January 1977,"November 17, 1992"
Supercenter,157,3509 East Race Avenue,Searcy,AR,"November 18, 1992",
Neighborhood Market,2431,1330 West Beebe Capps Expressway,Searcy,AR,"February 13, 2013",
Discount Store,336,1308 South Rock Street,Sheridan,AR,"August 4, 1980",March 2006
Supercenter,336,1308 South Rock Street,Sheridan,AR,March 2006,
Supercenter,7,9053 Highway 107,Sherwood,AR,"June 11, 2008",
Discount Store,1105,5450 Landers Road,Sherwood,AR,"December 31, 1987","March 16, 2004"
Neighborhood Market,2743,8801 Highway 107,Sherwood,AR,"October 14, 1998",
Discount Store,4,"Millsap Shopping Center, 821 South Mount Olive Street",Siloam Springs,AR,August 1965,1970
Discount Store,4,"Highland Park Shopping Center, 151 US Highway 412",Siloam Springs,AR,1970,1977
Discount Store,4,1443 US Highway 412,Siloam Springs,AR,1977,"January 23, 2001"
Supercenter,4,2901 Highway 412 East,Siloam Springs,AR,"January 24, 2001",
Neighborhood Market,6960,935 South Holly Street,Siloam Springs,AR,"September 10, 2014",
Discount Store,3,"Plaza Shopping Center, 1300 North Thompson Street",Springdale,AR,"September 30, 1964",1984
Discount Store,54,"Plaza Shopping Center, 2000 South Pleasant Street",Springdale,AR,June 1972,"April 28, 1992"
Supercenter,54,2004 South Pleasant Street,Springdale,AR,"April 29, 1992",
Neighborhood Market,2742,1375 Market Square Drive,Springdale,AR,"November 11, 1998",
Supercenter,4108,4870 Elm Springs Road,Springdale,AR,"August 13, 2014",
Neighborhood Market,4375,4900 Jennifer Terrace,Springdale,AR,"May 6, 2015",
Neighborhood Market,5738,3553 East Robinson Avenue,Springdale,AR,"January 7, 2009",
Discount Store,102,2114 South Main Street,Stuttgart,AR,September 1974,December 1995
Supercenter,102,406 East 22nd Street,Stuttgart,AR,December 1995,
Discount Store,468,133 Arkansas Boulevard,Texarkana,AR,"November 16, 1982","April 23, 2002"
Supercenter,468,133 Arkansas Boulevard,Texarkana,AR,"April 24, 2002",
Discount Store,229,801 Highway 463 North,Trumann,AR,"October 31, 1978","September 14, 2004"
Supercenter,229,512 Industrial Drive,Trumann,AR,"September 15, 2004",
Discount Store,16,230 Cloverleaf Plaza,Van Buren,AR,April 1969,1983
Discount Store,16,332 Cloverleaf Plaza,Van Buren,AR,1983,"April 19, 2000"
Supercenter,16,2214 Fayetteville Road,Van Buren,AR,"April 20, 2000",
Neighborhood Market,3819,8848 North Highway 59,Van Buren,AR,"December 17, 2014","January 28, 2016"
Discount Store,380,1359 West 2nd Street,Waldron,AR,"February 2, 1982","July 14, 2017"
Discount Store,57,814 Highway 67 North,Walnut Ridge,AR,October 1972,"September 29, 1992"
Discount Store,57,1600 West Main Street,Walnut Ridge,AR,"September 30, 1992",
Discount Store,714,"Tri-County Plaza, 700 Sebastian Street",West Helena,AR,"July 4, 1981","July 19, 1994"
Discount Store,70,"Meadowbrook Shopping Center, 500 West Broadway",West Memphis,AR,July 1974,1986
Discount Store,70,300 South Service Road,West Memphis,AR,1986,"January 24, 1995"
Supercenter,70,798 West Service Road,West Memphis,AR,"January 25, 1995",
Discount Store,68,1860 Falls Boulevard North,Wynne,AR,August 1973,"August 19, 2003"
Supercenter,68,800 Highway 64 East,Wynne,AR,"August 20, 2003",
Supercenter,5329,4435 West Anthem Way,Anthem,AZ,"June 15, 2005",
Discount Store,1381,10603 East Apache Trail,Apache Junction,AZ,"July 2, 1991","April 16, 2002"
Supercenter,1381,2555 West Apache Trail,Apache Junction,AZ,"April 17, 2002",
Discount Store,2554,13055 West Rancho Santa Fe Boulevard,Avondale,AZ,"January 26, 1998","October 24, 2000"
Supercenter,2554,13055 West Rancho Santa Fe Boulevard,Avondale,AZ,"October 25, 2000",
Supercenter,3807,201 South Prickly Pear Avenue,Benson,AZ,"November 8, 2006",
Supercenter,3407,1060 South Watson Road,Buckeye,AZ,"August 8, 2007",
Discount Store,1370,2350 Miracle Mile Road,Bullhead City,AZ,"January 31, 1990","January 25, 2000"
Supercenter,1370,2840 Highway 95,Bullhead City,AZ,"January 26, 2000",
Discount Store,1218,1325 East Florence Boulevard,Casa Grande,AZ,"October 11, 1988","August 19, 2003"
Supercenter,1218,1741 East Florence Boulevard,Casa Grande,AZ,"August 20, 2003",
Supercenter,5835,34399 North Cave Creek Road,Cave Creek,AZ,"October 5, 2011",
Discount Store,1512,800 West Warner Road,Chandler,AZ,"September 4, 1990",2009
Supercenter,1512,800 West Warner Road,Chandler,AZ,2009,
Neighborhood Market,2657,6085 West Chandler Boulevard,Chandler,AZ,"August 28, 2013","April 19, 2019"
Supercenter,2671,1175 South Arizona Avenue,Chandler,AZ,"August 24, 2005",
Supercenter,3360,2750 East Germann Road,Chandler,AZ,"November 2, 2005",
Neighborhood Market,4324,1900 East Chandler Boulevard,Chandler,AZ,"November 6, 2013",
Marketside,5902,950 North McQueen Road,Chandler,AZ,"October 4, 2008","October 14, 2011"
Supercenter,6480,3460 West Chandler Boulevard,Chandler,AZ,"March 11, 2015",
Discount Store,1334,100 South Ragus Road,Claypool,AZ,"August 31, 1989",2010
Supercenter,1334,100 South Ragus Road,Claypool,AZ,2010,
Supercenter,2778,1695 North Arizona Boulevard,Coolidge,AZ,"January 24, 2001",
Discount Store,1299,1100 West Highway 260,Cottonwood,AZ,"February 2, 1989","October 19, 2004"
Supercenter,1299,2003 East Rodeo Drive,Cottonwood,AZ,"October 20, 2004",
Discount Store,1846,204 West 5th Street,Douglas,AZ,"September 1, 1992","October 19, 2004"
Supercenter,1846,199 West 5th Street,Douglas,AZ,"October 20, 2004",
Supercenter,4336,12900 West Thunderbird Road,El Mirage,AZ,"July 18, 2007",
Discount Store,1175,2750 South Woodlands Village Boulevard,Flagstaff,AZ,"October 29, 1988",
Supercenter,4252,2601 East Huntington Drive,Flagstaff,AZ,"November 3, 2010",
Supercenter,4203,5210 South Highway 95,Fort Mohave,AZ,"July 19, 2017",
Supercenter,3861,5290 South Power Road,Gilbert,AZ,"August 8, 2007",
Supercenter,5186,"SanTan Village Marketplace, 2501 South Market Street",Gilbert,AZ,"January 26, 2005",
